	budget	popularity	revenue	runtime	vote_count	char1	directer
0	237000000	150.437577	2787965087	162	11800	Sam Worthington	James Cameron
1	300000000	139.082615	961000000	169	4500	Johnny Depp	Gore Verbinski
2	245000000	107.376788	880674609	148	4466	Daniel Craig	Sam Mendes
3	250000000	112.31295	1084939099	165	9106	Christian Bale	Christopher Nolan
4	260000000	43.926995	284139100	132	2124	Taylor Kitsch	Andrew Stanton
5	258000000	115.699814	890871626	139	3576	Tobey Maguire	Sam Raimi
6	260000000	48.681969	591794936	100	3330	Zachary Levi	Byron Howard
7	280000000	134.279229	1405403694	141	6767	Robert Downey Jr.	Joss Whedon
8	250000000	98.885637	933959197	153	5293	Daniel Radcliffe	David Yates
9	250000000	155.790452	873260194	151	7004	Ben Affleck	Zack Snyder
11	200000000	107.928811	586090727	106	2965	Daniel Craig	Marc Forster
12	200000000	145.847379	1065659812	151	5246	Johnny Depp	Gore Verbinski
13	255000000	49.046956	89289910	149	2311	Johnny Depp	Gore Verbinski
14	225000000	99.398009	662845518	143	6359	Henry Cavill	Zack Snyder
16	220000000	144.448633	1519557910	143	11776	Robert Downey Jr.	Joss Whedon
17	380000000	135.413856	1045713802	136	4948	Johnny Depp	Rob Marshall
18	225000000	52.035179	624026776	106	4160	Will Smith	Barry Sonnenfeld
19	250000000	120.965743	956019788	144	4760	Martin Freeman	Peter Jackson
20	215000000	89.866276	752215857	136	6586	Andrew Garfield	Marc Webb
21	200000000	37.668301	310669540	140	1398	Russell Crowe	Ridley Scott
22	250000000	94.370564	958400000	161	4524	Martin Freeman	Peter Jackson
23	180000000	42.990906	372234864	113	1303	Dakota Blue Richards	Chris Weitz
25	200000000	100.025899	1845034188	194	7562	Kate Winslet	James Cameron
26	250000000	198.372395	1153304495	147	7241	Chris Evans	Anthony Russo
28	150000000	418.708552	1513528810	124	8662	Chris Pratt	Colin Trevorrow
29	200000000	93.004993	1108561013	143	7604	Daniel Craig	Sam Mendes
30	200000000	35.149586	783766341	127	4321	Tobey Maguire	Sam Raimi
31	200000000	77.68208	1215439994	130	8806	Robert Downey Jr.	Shane Black
32	200000000	78.530105	1025491110	108	4645	Mia Wasikowska	Tim Burton
35	150000000	21.939663	836297228	150	3138	Shia LaBeouf	Michael Bay
36	210000000	116.840296	1091405097	165	3095	Mark Wahlberg	Michael Bay
37	200000000	46.985445	491868548	130	3530	James Franco	Sam Raimi
38	200000000	89.270217	705717432	142	4179	Andrew Garfield	Marc Webb
39	170000000	73.79505	400062763	125	2841	Garrett Hedlund	Joseph Kosinski
40	200000000	49.98659	559852396	106	2033	Owen Wilson	John Lasseter
41	200000000	51.872839	219851172	114	2487	Ryan Reynolds	Martin Campbell
42	200000000	59.995418	1066969703	103	4597	Tom Hanks	Lee Unkrich
43	200000000	71.862892	371353001	115	2463	Christian Bale	McG
44	190000000	102.322217	1506249360	137	4176	Vin Diesel	James Wan
45	200000000	81.834855	531865000	116	5560	Brad Pitt	Marc Forster
46	250000000	118.078691	747862775	131	6032	Hugh Jackman	Bryan Singer
48	195000000	43.349855	197687603	114	2598	Nicholas Hoult	Bryan Singer
50	150000000	62.169881	335154643	116	2317	Jake Gyllenhaal	Mike Newell
51	180000000	56.523205	407602906	131	4794	Idris Elba	Guillermo del Toro
52	195000000	28.529607	1123746996	154	3299	Shia LaBeouf	Michael Bay
53	185000000	75.674458	786636033	122	2495	Harrison Ford	Steven Spielberg
54	175000000	51.692953	331926147	93	1736	Raymond Ochoa	Peter Sohn
55	185000000	125.114374	538983207	93	4641	Kelly Macdonald	Brenda Chapman
57	180000000	66.390712	521311860	98	6296	Ben Burtt	Andrew Stanton
59	200000000	45.274225	769653595	158	4903	John Cusack	Roland Emmerich
60	200000000	39.744242	325233863	96	1095	Gary Oldman	Robert Zemeckis
61	176000003	85.36908	183987723	124	2768	Mila Kunis	Lilly Wachowski
62	180000000	42.741719	356743061	109	2430	Alexander Skarsg?rd	David Yates
64	178000000	139.272042	543934787	144	4721	James McAvoy	Bryan Singer
65	185000000	187.322927	1004558444	152	12002	Christian Bale	Christopher Nolan
67	175000000	36.167578	381509870	94	1423	Seth Rogen	Conrad Vernon
68	140000000	120.725053	585174222	126	8776	Robert Downey Jr.	Jon Favreau
69	170000000	32.319043	185770160	126	2141	Ben Kingsley	Martin Scorsese
71	145000000	60.034162	401128639	112	1387	Brendan Fraser	Rob Cohen
72	175000000	90.23792	745000000	123	7458	Will Smith	David Ayer
73	175000000	27.082182	173000000	96	1151	Steve Carell	Tom Shadyac
74	178000000	79.456485	370541256	113	4858	Tom Cruise	Doug Liman
76	175000000	32.852443	302469017	118	1962	Dennis Quaid	Stephen Sommers
77	175000000	128.655964	857611174	94	6560	Amy Poehler	Pete Docter
79	200000000	77.300194	623933331	124	6849	Robert Downey Jr.	Jon Favreau
80	170000000	77.178973	396600000	127	3118	Kristen Stewart	Rupert Sanders
81	180000000	110.620647	758539785	97	4496	Angelina Jolie	Robert Stromberg
82	170000000	243.791743	710644566	130	4410	Andy Serkis	Matt Reeves
85	170000000	72.225265	714766572	136	5764	Chris Evans	Anthony Russo
86	165000000	44.041186	752600867	93	1959	Mike Myers	Mike Mitchell
87	190000000	130.311355	209154322	130	2846	Britt Robertson	Brad Bird
88	165000000	203.73459	652105443	102	6135	Scott Adsit	Chris Williams
89	165000000	62.341073	471222889	108	4570	John C. Reilly	Rich Moore
91	165000000	48.775723	389681935	120	2491	Liam Hemsworth	Roland Emmerich
92	165000000	67.263269	494878759	98	4227	Jay Baruchel	Chris Sanders
94	170000000	481.098624	773328629	121	9742	Chris Pratt	James Gunn
95	165000000	724.247784	675120017	169	10867	Matthew McConaughey	Christopher Nolan
96	160000000	167.58371	825532764	148	13752	Leonardo DiCaprio	Christopher Nolan
98	250000000	108.849621	1021103568	169	8297	Ian McKellen	Peter Jackson
100	150000000	60.269279	333932083	166	3292	Cate Blanchett	David Fincher
101	160000000	3.195174	353624124	132	5181	James McAvoy	Matthew Vaughn
102	160000000	127.284427	653428261	137	3984	Jennifer Lawrence	Francis Lawrence
103	150000000	35.580815	215283742	109	1470	Nicolas Cage	Jon Turteltaub
104	160000000	21.133748	181674817	99	583	Kurt Russell	Wolfgang Petersen
105	170000000	56.268916	299370084	113	1725	Johnny Depp	James Bobin
106	160000000	42.986467	798958165	93	2278	Mike Myers	Chris Miller
107	160000000	63.148529	433677183	123	2268	Paula Patton	Duncan Jones
108	155000000	202.042635	440603537	126	3631	Arnold Schwarzenegger	Alan Taylor
111	150000000	25.468493	709709780	144	4040	Shia LaBeouf	Michael Bay
113	150000000	78.144395	938212738	138	5494	Daniel Radcliffe	David Yates
114	150000000	101.250416	895921036	157	5608	Daniel Radcliffe	Mike Newell
115	150000000	56.758411	624029371	92	2961	Will Smith	Peter Berg
116	150000000	70.867401	585349010	101	4853	Will Smith	Francis Lawrence
117	150000000	53.905592	474968763	115	3624	Johnny Depp	Tim Burton
118	150000000	65.677399	623722818	111	4369	Patton Oswalt	Jan Pinkava
119	150000000	115.040024	374218673	140	7359	Christian Bale	Christopher Nolan
120	150000000	44.141021	603900354	89	1810	Ben Stiller	Eric Darnell
121	150000000	81.781591	413106170	105	1971	Ben Stiller	Shawn Levy
122	150000000	5.954334	373062864	107	4021	Hugh Jackman	Gavin Hood
124	150000000	165.125366	1274219009	102	5295	Kristen Bell	Chris Buck
126	170000000	99.499595	644571402	112	4755	Chris Hemsworth	Alan Taylor
127	150000000	434.278564	378858340	120	9427	Tom Hardy	George Miller
129	150000000	86.493424	449326618	115	6525	Chris Hemsworth	Kenneth Branagh
130	150000000	41.845878	309979994	98	1750	John Travolta	Chris Williams
131	150000000	26.710398	292817841	88	510	Sam Rockwell	Hoyt Yeatman
132	150000000	44.927635	301000000	99	1431	Sam Worthington	Jonathan Liebesman
133	150000000	50.306728	245527149	113	2320	Johnny Depp	Tim Burton
134	150000000	114.522237	682330139	131	3224	Tom Cruise	Christopher McQuarrie
135	150000000	21.214571	0	102	549	Benicio del Toro	Joe Johnston
136	150000000	29.332905	287594577	91	1171	Jerry Seinfeld	Steve Hickner
137	150000000	51.247321	665692281	91	1880	Jack Black	Jennifer Yuh Nelson
138	150000000	33.769336	318502923	103	1151	Noah Ringer	M. Night Shyamalan
139	150000000	63.079003	397850012	126	2028	Tom Cruise	J.J. Abrams
141	150000000	12.362599	38992758	88	199	Seth Green	Simon Wells
142	149000000	22.550135	64459316	85	874	Hugh Jackman	David Bowers
147	140000000	54.159392	431971116	133	1092	Pierce Brosnan	Lee Tamahori
148	144000000	66.21806	229147509	116	2142	Melissa McCarthy	Paul Feig
150	140000000	91.332849	441818803	88	3114	Tommy Lee Jones	Barry Sonnenfeld
151	70000000	35.601665	195735876	115	841	Ray Winstone	Robert Zemeckis
152	145000000	56.747978	521170825	95	1603	Jack Black	Jennifer Yuh Nelson
153	145000000	77.77477	694713380	133	3972	Tom Cruise	Brad Bird
154	145000000	61.788035	306941670	97	1922	Chris Pine	Peter Ramsey
155	100000000	25.159168	202026112	90	627	Jim Carrey	Dean Parisot
157	140000000	101.599427	268031828	150	1921	Christian Bale	Ridley Scott
159	139000000	82.502566	821708551	121	5265	Tobey Maguire	Sam Raimi
160	145000000	100.21391	609123048	102	3106	Jay Baruchel	Dean DeBlois
163	130000000	64.798873	185258983	163	2811	Malin ?kerman	Zack Snyder
169	140000000	74.506246	370569774	124	7047	Chris Evans	Joe Johnston
170	135000000	39.604363	361832400	128	862	Pierce Brosnan	Michael Apted
171	150000000	36.973031	212011111	138	790	Russell Crowe	Peter Weir
173	130000000	17.7735	150406466	100	373	Elijah Wood	George Miller
175	140000000	44.19092	183345589	120	1000	Ruby Barnhill	Steven Spielberg
176	135000000	100.635882	532950503	156	6396	Leonardo DiCaprio	Alejandro Gonz?lez I??rritu
177	135000000	44.765377	282570682	96	1074	Ryan Reynolds	David Soren
178	135000000	29.91353	245724603	107	2051	Johnny Depp	Gore Verbinski
180	70000000	45.381501	442824138	115	2888	Matt Damon	Paul Greengrass
181	130000000	84.689648	631744560	90	3145	Jack Black	Mark Osborne
182	130000000	120.09361	519311965	117	5880	Paul Rudd	Peyton Reed
183	130000000	76.310119	847423452	146	6495	Jennifer Lawrence	Francis Lawrence
184	135000000	63.473086	368871007	94	1519	Jim Parsons	Tim Johnson
188	110000000	48.829437	293329073	100	2093	Angelina Jolie	Phillip Noyce
189	125000000	46.115758	362637473	139	2350	Russell Crowe	Darren Aronofsky
190	130000000	89.938296	371940071	107	2061	Jamie Bell	Steven Spielberg
196	130000000	68.757242	321887208	95	1918	Will Ferrell	Tom McGrath
197	125000000	109.984351	976475550	152	7006	Daniel Radcliffe	Chris Columbus
198	130000000	39.448066	61648500	96	1260	Jeff Bridges	Robert Schwentke
199	140000000	271.972889	655011224	143	6985	Johnny Depp	Gore Verbinski
200	125000000	206.227151	752100229	123	5584	Jennifer Lawrence	Francis Lawrence
201	125000000	45.313197	767820459	149	2704	Tom Hanks	Ron Howard
202	103000000	42.40024	500188435	102	978	Jesse Eisenberg	Carlos Saldanha
204	125000000	7.255718	626137675	130	2438	Vin Diesel	Justin Lin
205	125000000	81.499621	334615000	129	3886	Robert Downey Jr.	Guy Ritchie
206	125000000	47.686442	232713139	106	2233	Sam Worthington	Louis Leterrier
209	130000000	90.33681	276572938	120	2651	Jeremy Renner	Tony Gilroy
211	123000000	45.419668	345141403	104	1386	Jim Carrey	Ron Howard
212	125000000	41.380094	544272402	124	2392	Dennis Quaid	Roland Emmerich
213	125000000	54.931334	546388105	123	1928	Tom Cruise	John Woo
216	120000000	51.328145	609016565	127	5797	Suraj Sharma	Ang Lee
217	110000000	46.834704	228738393	114	1712	Nicolas Cage	Mark Steven Johnson
218	120000000	62.641286	415484914	123	2341	Matt Damon	Paul Greengrass
220	130000000	68.889395	403170142	124	5080	Noomi Rapace	Ridley Scott
224	120000000	66.757869	242688965	102	2342	Joel Kinnaman	Jos� Padilha
225	120000000	17.060695	93945766	135	354	Emile Hirsch	Lilly Wachowski
226	120000000	11.137655	48668907	121	223	Reese Witherspoon	James L. Brooks
227	117000000	44.906918	261930431	109	1547	Tom Cruise	James Mangold
228	120000000	67.698004	286168572	124	4800	Tom Cruise	Joseph Kosinski
229	113000000	44.108427	850000000	140	4116	Ewan McGregor	George Lucas
230	120000000	43.987061	649398328	142	3992	Ewan McGregor	George Lucas
231	115000000	106.815545	562816256	92	5996	John Goodman	Pete Docter
232	120000000	15.953444	415440673	126	4053	Hugh Jackman	James Mangold
233	115000000	54.035265	924317558	136	4432	Liam Neeson	George Lucas
234	135000000	64.183321	585178928	98	2399	Nicolas Cage	Chris Sanders
237	115000000	60.467984	164602163	114	1523	Chris Hemsworth	Cedric Nicolas-Troyan
238	125000000	143.350376	477200000	101	2636	Megan Fox	Jonathan Liebesman
239	105000000	110.153618	716392705	91	5751	Sandra Bullock	Alfonso Cuar?n
241	135000000	39.873791	245623848	112	963	Megan Fox	Dave Green
242	120000000	38.126095	167977596	100	2278	Miles Teller	Josh Trank
244	110000000	100.412364	470490832	114	2968	Dwayne Johnson	Brad Peyton
245	110000000	42.887121	333011068	119	925	Pierce Brosnan	Roger Spottiswoode
247	110000000	76.840712	362744280	125	2124	George Clooney	Steven Soderbergh
249	110000000	103.718387	295238201	119	3829	Shailene Woodley	Robert Schwentke
252	120000000	31.703608	227817248	119	1251	Seth Rogen	Michel Gondry
253	110000000	71.510596	337580051	102	2397	Sullivan Stapleton	Noam Murro
254	110000000	36.65422	563749323	103	1179	Hank Azaria	Raja Gosnell
255	110000000	19.625972	103951461	76	389	Roseanne Barr	Will Finn
256	110000000	86.105615	179246868	121	1998	Shailene Woodley	Robert Schwentke
257	110000000	37.195046	299268508	127	2692	Hugh Jackman	Shawn Levy
258	105000000	32.473628	347434178	105	695	Hank Azaria	Raja Gosnell
260	110000000	45.94834	125537191	114	2303	Asa Butterfield	Gavin Hood
262	93000000	138.049577	871368364	178	8705	Elijah Wood	Peter Jackson
267	130000000	44.490453	211643158	144	1157	Orlando Bloom	Ridley Scott
269	105000000	62.479574	267045765	97	1247	Anika Noni Rose	Ron Clements
270	108000000	167.93287	630161890	141	7268	Matt Damon	Ridley Scott
271	126000000	37.68056	162949164	136	1770	Ewan McGregor	Michael Bay
277	150000000	88.935165	599045960	144	3855	Daniel Craig	Martin Campbell
280	80000000	33.691694	214104620	140	1344	Christian Bale	Michael Mann
281	100000000	42.361215	266465037	157	1502	Denzel Washington	Ridley Scott
283	100000000	40.597856	150166126	106	954	Denzel Washington	Tony Scott
284	100000000	32.389353	310650585	98	1060	Robert De Niro	Paul Weitz
285	100000000	24.399642	170432927	107	1383	Will Ferrell	Adam McKay
286	100000000	24.507987	242295562	115	543	Arnold Schwarzenegger	Chuck Russell
287	100000000	82.121691	425368238	165	10099	Jamie Foxx	Quentin Tarantino
290	100000000	53.732892	312573423	103	2896	Sylvester Stallone	Simon West
292	100000000	30.863434	249288105	104	967	Ed Speleers	Stefen Fangmeier
293	100000000	31.586215	100086793	101	572	Max Records	Spike Jonze
295	100000000	41.426678	278731369	103	1699	Johnny Depp	Florian Henckel von Donnersmarck
296	100000000	20.652943	211989043	121	482	Arnold Schwarzenegger	Peter Hyams
298	100000000	95.007934	392000694	180	6571	Leonardo DiCaprio	Martin Scorsese
301	102000000	73.872343	130482868	172	2977	Tom Hanks	Tom Tykwer
302	80000000	37.321848	140073390	97	703	Emily Barclay	Zack Snyder
307	90000000	61.025639	206172544	127	1795	Sylvester Stallone	Patrick Hughes
308	105000000	33.507289	133718711	114	783	Edgar Ram?rez	Ericson Core
310	100000000	50.767332	93820758	122	1276	Chris Hemsworth	Ron Howard
312	100000000	30.254021	94882889	115	717	Matt Damon	Paul Greengrass
313	99000000	34.308098	246233113	88	604	Noah Schnapp	Steve Martino
316	100000000	46.160048	193772504	167	1910	Leonardo DiCaprio	Martin Scorsese
318	85000000	23.230851	149044513	85	601	Shia LaBeouf	Ash Brannon
323	100000000	18.325897	288347692	146	426	Sarah Jessica Parker	Michael Patrick King
325	95000000	65.229868	877244782	88	2672	John Leguizamo	Steve Martino
326	95000000	101.187052	543514353	105	2374	Lily James	Kenneth Branagh
327	65000000	29.257137	93525586	136	1065	Rachel Weisz	Peter Jackson
328	94000000	85.688789	940335536	100	6122	Albert Brooks	Andrew Stanton
329	94000000	123.630332	1118888979	201	8064	Elijah Wood	Peter Jackson
330	79000000	106.914973	926287400	179	7487	Elijah Wood	Peter Jackson
331	95000000	63.628459	114178613	102	957	Jeff Bridges	Sergei Bodrov
335	93000000	138.433168	482860185	105	4347	James Franco	Rupert Wyatt
337	92000000	65.402595	304654182	98	3493	Bruce Willis	John Moore
339	92000000	77.817571	631442092	115	5152	Craig T. Nelson	Brad Bird
342	90000000	104.121555	589390539	98	4412	Tommy Lee Jones	Barry Sonnenfeld
343	90000000	73.575118	497366869	92	3806	Tom Hanks	John Lasseter
347	100000000	46.781182	242988466	90	1747	Bill Hader	Phil Lord
348	90000000	69.457898	886686817	94	2271	Ray Romano	Carlos Saldanha
351	90000000	63.429157	289847354	151	4339	Leonardo DiCaprio	Martin Scorsese
353	92000000	43.192048	188072649	107	1667	Ben Stiller	Ben Stiller
354	90000000	47.651083	232617430	158	2434	Daniel Craig	David Fincher
356	90000000	57.834787	524028679	128	5766	Robert Downey Jr.	Guy Ritchie
357	100000000	29.608322	94061311	125	621	Jack Huston	Timur Bekmambetov
358	120000000	51.548589	186053725	95	1224	Michael J. Fox	Gary Trousdale
359	0	27.867368	233755553	92	428	Jason Lee	Walt Becker
361	90000000	40.597344	201596308	113	1048	Adam Sandler	Dennis Dugan
362	88000000	140.849495	243637091	105	2513	Adam Sandler	Chris Columbus
365	90000000	55.249434	171120329	150	1308	Jodie Foster	Robert Zemeckis
367	80000000	18.69984	162944923	128	392	Nicole Kidman	Sydney Pollack
368	90000000	40.262261	174578751	106	1648	Logan Lerman	Thor Freudenthal
370	90000000	51.535701	334901337	129	3235	Jesse Eisenberg	Jon M. Chu
374	90000000	46.200042	484635760	96	2166	Jesse Eisenberg	Carlos Saldanha
380	88000000	24.100863	108539911	144	616	Russell Crowe	Ron Howard
382	87000000	14.824166	148336445	141	216	Jeff Bridges	Gary Ross
385	100000000	37.272385	384335608	108	1410	Elijah Wood	George Miller
386	75000000	53.213931	288500217	108	2825	Matt Damon	Paul Greengrass
388	85000000	60.929352	450717150	116	3783	George Clooney	Steven Soderbergh
389	75000000	36.605246	132274484	110	924	Milla Jovovich	Paul W.S. Anderson
390	85000000	56.257411	358375603	91	2566	Adam Sandler	Genndy Tartakovsky
391	85000000	29.21998	340487652	107	1449	Amy Adams	Kevin Lima
392	85000000	34.773106	208076205	115	1345	Denzel Washington	Daniel Espinosa
394	75000000	36.743324	152930623	104	932	Ben Stiller	Brett Ratner
395	85000000	44.967453	194168700	136	1225	Cameron Diaz	Nancy Meyers
397	85000000	16.479851	219103655	121	360	Meryl Streep	Nancy Meyers
398	85000000	42.069993	311312624	122	1999	George Clooney	Steven Soderbergh
399	85000000	26.61951	197309027	83	656	Martin Lawrence	Jill Culton
400	85000000	80.316463	288747895	139	4663	Shailene Woodley	Neil Burger
402	85000000	24.107835	80916492	104	514	Dwayne Johnson	Peter Berg
404	85000000	16.595874	162242962	145	652	Zhang Ziyi	Rob Marshall
405	85000000	8.282876	158468292	104	1705	Lucas Black	Justin Lin
406	0	19.83683	0	97	333	James McAvoy	Barry Cook
407	90000000	36.069611	142940100	178	1147	Brad Pitt	Martin Brest
408	85000000	18.827753	78382433	108	427	Arnold Schwarzenegger	Andrew Davis
411	60000000	38.885195	47664559	112	2126	Michael Cera	Edgar Wright
415	50000000	57.673932	41037742	95	1940	Karl Urban	Pete Travis
418	85000000	11.77398	112483764	82	119	James Marsden	Brad Peyton
419	85000000	21.218	222231186	88	1799	Hayden Christensen	Doug Liman
423	80000000	109.684788	484572835	101	3012	Jim Carrey	Tom Shadyac
424	80000000	77.580661	274470394	103	2926	Sylvester Stallone	Sylvester Stallone
425	80000000	75.290998	457696359	110	2631	Tom Cruise	Brian De Palma
426	75000000	68.550698	691210692	142	9455	Jennifer Lawrence	Gary Ross
427	80000000	58.040149	254455986	102	3739	Bradley Cooper	Todd Phillips
433	84000000	44.34333	0	116	1526	Bruce Willis	Dean Parisot
435	75000000	23.473004	342695435	87	484	Jason Lee	Mike Mitchell
436	80000000	45.589568	246984278	100	1155	Adam Sandler	Dennis Dugan
437	80000000	23.496054	230685453	110	1051	Steve Carell	Peter Segal
439	80000000	81.914696	294804195	138	6336	Leonardo DiCaprio	Martin Scorsese
445	80000000	37.02665	214918407	117	1543	Adam Sandler	Dennis Dugan
452	80000000	36.125715	250200000	88	1288	Michael Jordan	Joe Pytka
458	80000000	11.187696	201584141	80	220	Dan Aykroyd	Eric Brevig
